CustomerID,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,Segment
12346.0,325.11736111110076,1,77183.6,1,1,5,115,Churn Risk
12347.0,1.873611110728234,7,4309.999999999997,5,5,5,555,VIP
12348.0,74.98402777779847,4,1797.24,2,4,4,244,At Risk
12349.0,18.124305555131286,1,1757.55,4,1,4,414,Potential Loyalist
12350.0,309.86736111110076,1,334.40000000000003,1,1,2,112,Churn Risk
12352.0,35.92569444421679,8,2506.040000000001,3,5,5,355,Loyal
12353.0,203.7937499997206,1,89.0,1,1,1,111,Churn Risk
12354.0,231.98541666660458,1,1079.4,1,1,4,114,Churn Risk
12355.0,213.95902777742594,1,459.4,1,1,2,112,Churn Risk
12356.0,22.17361111100763,3,2811.4300000000007,4,3,5,435,Regular
12357.0,32.86319444421679,1,6207.669999999996,3,1,5,315,Regular
12358.0,1.099999999627471,2,1168.06,5,2,4,524,Potential Loyalist
12359.0,57.00208333320916,4,6372.580000000005,3,4,5,345,Loyal
12360.0,51.89444444421679,3,2662.0600000000004,3,3,5,335,Regular
12361.0,286.95763888861984,1,189.89999999999998,1,1,1,111,Churn Risk
12362.0,2.8819444440305233,10,5226.230000000003,5,5,5,555,VIP
12363.0,109.10555555531755,2,552.0,2,2,3,223,Churn Risk
12364.0,7.102777777705342,4,1313.1000000000001,5,4,4,544,VIP
12365.0,290.9486111109145,2,641.38,1,2,3,123,Churn Risk
12367.0,3.834722221828997,1,168.9,5,1,1,511,Potential Loyalist
12370.0,50.915972222108394,4,3545.689999999998,3,4,5,345,Loyal
12371.0,44.106944444123656,2,1887.9600000000003,3,2,4,324,Regular
12372.0,71.02638888871297,3,1298.0400000000002,3,3,4,334,Regular
12373.0,310.98611111100763,1,364.6,1,1,2,112,Churn Risk
12374.0,24.88402777770534,1,742.93,4,1,3,413,Potential Loyalist
12375.0,10.093055555131286,2,457.5000000000001,5,2,2,522,Potential Loyalist
12377.0,314.87847222201526,2,1628.1199999999997,1,2,4,124,Churn Risk
12378.0,129.09444444440305,1,4008.6200000000013,2,1,5,215,Churn Risk
12379.0,81.11180555541068,2,852.2399999999997,2,2,3,223,Churn Risk
12380.0,21.057638888712972,4,2724.81,4,4,5,445,VIP
12381.0,4.004166666418314,5,1845.3100000000006,5,4,4,544,VIP
12383.0,184.1999999997206,5,1850.5599999999997,1,4,4,144,At Risk
12384.0,28.174305555410683,2,585.2700000000001,4,2,3,423,Potential Loyalist
12386.0,337.00902777770534,2,401.90000000000003,1,2,2,122,Churn Risk
12388.0,15.013888888526708,6,2780.6600000000003,4,4,5,445,VIP
12390.0,79.13680555531755,1,549.8399999999999,2,1,3,213,Churn Risk
12391.0,21.029861110728234,1,460.88999999999993,4,1,2,412,Potential Loyalist
12393.0,71.88124999962747,4,1582.6000000000004,2,4,4,244,At Risk
12394.0,63.19583333330229,2,1272.48,3,2,4,324,Regular
12395.0,18.89513888861984,12,3018.6299999999987,4,5,5,455,VIP
12397.0,35.123611110728234,2,2409.9000000000005,3,2,5,325,Regular
12398.0,45.09930555522442,1,1635.6599999999999,3,1,4,314,Regular
12399.0,118.98263888852671,4,1108.65,2,4,4,244,At Risk
12401.0,302.9583333330229,1,84.3,1,1,1,111,Churn Risk
12402.0,322.95902777742594,1,225.6,1,1,1,111,Churn Risk
12403.0,49.08263888861984,1,427.7,3,1,2,312,Regular
12405.0,148.16527777770534,1,1710.3900000000006,2,1,4,214,Churn Risk
12406.0,21.72777777770534,2,3415.300000000001,4,2,5,425,Potential Loyalist
12407.0,49.11041666660458,5,1708.1199999999997,3,4,4,344,Loyal
12408.0,32.015972222201526,5,2888.5500000000006,4,4,5,445,VIP
12409.0,78.09166666632518,3,11072.670000000002,2,3,5,235,At Risk
12410.0,308.09097222192213,2,693.3299999999999,1,2,3,123,Churn Risk
12412.0,74.10694444412366,3,1226.8799999999999,2,3,4,234,At Risk
12413.0,66.15972222201526,3,758.0999999999999,3,3,3,333,Regular
12414.0,216.9159722221084,3,562.41,1,3,3,133,At Risk
12415.0,23.936111110728234,21,124914.52999999975,4,5,5,455,VIP
12417.0,2.9152777777053416,9,3649.1,5,5,5,555,VIP
12418.0,112.07083333330229,1,668.5799999999997,2,1,3,213,Churn Risk
12420.0,63.16319444403052,1,600.3900000000001,3,1,3,313,Regular
12421.0,15.154861110728234,4,807.0400000000002,4,4,3,443,Loyal
12422.0,95.1263888888061,3,803.5599999999998,2,3,3,233,At Risk
12423.0,0.11111111100763083,8,1859.3100000000002,5,5,4,554,VIP
12424.0,162.0305555551313,2,1760.9599999999998,2,2,4,224,Churn Risk
12425.0,77.80486111110076,1,777.1999999999999,2,1,3,213,Churn Risk
12426.0,194.01666666660458,1,582.7299999999999,1,1,3,113,Churn Risk
12427.0,21.16249999962747,3,825.8000000000002,4,3,3,433,Regular
12428.0,25.186111110728234,9,7956.460000000004,4,5,5,455,VIP
12429.0,8.811111110728234,4,3750.400000000001,5,4,5,545,VIP
12430.0,42.90347222192213,1,256.4,3,1,2,312,Regular
12431.0,35.03819444403052,15,6487.449999999999,3,5,5,355,Loyal
12432.0,42.046527777798474,5,5059.3200000000015,3,4,5,345,Loyal
12433.0,0.11666666623204947,7,13375.869999999992,5,5,5,555,VIP
12434.0,84.00833333330229,2,806.14,2,2,3,223,Churn Risk
12435.0,79.15555555513129,2,7829.889999999998,2,2,5,225,Churn Risk
12436.0,99.02847222192213,1,509.01000000000005,2,1,3,213,Churn Risk
12437.0,1.0520833330228925,18,4951.409999999997,5,5,5,555,VIP
12438.0,13.973611110821366,2,2906.8500000000004,4,2,5,425,Potential Loyalist
12441.0,366.0868055555038,1,173.55,1,1,1,111,Churn Risk
12442.0,2.936111110728234,1,172.06,5,1,1,511,Potential Loyalist
12444.0,20.97708333330229,5,5005.46,4,4,5,445,VIP
12445.0,21.754861110821366,1,133.4,4,1,1,411,Potential Loyalist
12446.0,57.0,1,1002.3099999999998,3,1,4,314,Regular
12447.0,242.97569444403052,1,476.49,1,1,2,112,Churn Risk
12448.0,43.96111111110076,1,449.4500000000001,3,1,2,312,Regular
12449.0,21.961111111100763,4,4067.2900000000013,4,4,5,445,VIP
12450.0,155.92291666660458,2,197.88,2,2,1,221,Churn Risk
12451.0,10.17361111100763,5,9035.519999999999,5,4,5,545,VIP
12452.0,16.098611110821366,2,430.57000000000005,4,2,2,422,Potential Loyalist
12453.0,133.9458333333023,1,707.0899999999999,2,1,3,213,Churn Risk
12454.0,55.817361110821366,1,3528.34,3,1,5,315,Regular
12455.0,72.88819444412366,6,2466.859999999997,2,4,5,245,At Risk
12456.0,43.92291666660458,3,3181.039999999998,3,3,5,335,Regular
12457.0,65.98402777779847,7,2363.2299999999996,3,5,5,355,Loyal
12458.0,70.89236111100763,2,947.4000000000001,3,2,4,324,Regular
12461.0,93.82847222220153,2,826.8800000000001,2,2,3,223,Churn Risk
12462.0,18.152083333116025,2,1189.5900000000001,4,2,4,424,Potential Loyalist
12463.0,52.96249999990687,4,1344.7799999999997,3,4,4,344,Loyal
12464.0,9.970138888806105,8,1212.0499999999997,5,5,4,554,VIP
12465.0,16.844444444403052,2,742.1900000000002,4,2,3,423,Potential Loyalist
12468.0,187.05138888861984,2,729.54,1,2,3,123,Churn Risk
12471.0,1.8798611108213663,30,19824.049999999945,5,5,5,555,VIP
12472.0,31.950694444123656,7,6572.110000000003,4,5,5,455,VIP
12473.0,28.961111111100763,5,3938.55,4,4,5,445,VIP
12474.0,16.924305555410683,18,7375.789999999998,4,5,5,455,VIP
12475.0,53.11111111100763,1,723.38,3,1,3,313,Regular
12476.0,15.006944444030523,11,6816.420000000005,4,5,5,455,VIP
12477.0,22.124305555131286,6,13219.73999999999,4,4,5,445,VIP
12478.0,3.1208333331160247,1,680.9900000000002,5,1,3,513,Potential Loyalist
12479.0,10.974999999627471,1,527.2,5,1,3,513,Potential Loyalist
12480.0,27.91527777770534,4,3281.6300000000015,4,4,5,445,VIP
12481.0,22.181249999906868,10,5596.320000000002,4,5,5,455,VIP
12483.0,16.824999999720603,8,2484.980000000001,4,5,5,455,VIP
12484.0,32.05069444421679,6,4541.720000000001,3,4,5,345,Loyal
12488.0,9.166666666511446,3,1298.6599999999999,5,3,4,534,Regular
12489.0,335.9840277777985,1,334.92999999999995,1,1,2,112,Churn Risk
12490.0,4.863194444216788,10,5417.9299999999985,5,5,5,555,VIP
12491.0,38.022222221829,1,460.4000000000001,3,1,2,312,Regular
12492.0,62.899305555503815,2,263.21,3,2,2,322,Regular
12493.0,165.1062499997206,2,433.74,2,2,2,222,Churn Risk
12494.0,15.136111110914499,7,1246.1000000000006,4,5,4,454,VIP
12497.0,81.01458333292976,1,1043.1,2,1,4,214,Churn Risk
12498.0,20.99791666632518,3,403.7,4,3,2,432,Regular
12500.0,22.854166666511446,11,4257.820000000001,4,5,5,455,VIP
12501.0,336.0152777777985,1,2169.3899999999994,1,1,5,115,Churn Risk
12502.0,95.04027777770534,5,3723.87,2,4,5,245,At Risk
